mlbam_id,catcher_name
696100,hunter goodman
668939,adley rutschman
607732,jacob stallings
672386,alejandro kirk
664954,brett sullivan
642136,matt thaiss
686676,korey lee
671056,iván herrera
666310,bo naylor
620443,luis torrens
643376,danny jansen
605170,víctor caratini
543309,kyle higashioka
687221,dalton rushing
669127,shea langeliers
641555,j. c. escarra
518595,travis d'arnaud
665804,miguel amaya
700337,edgar quero
672515,gabriel moreno
665966,carlos narváez
668670,jake rogers
608348,carson kelly
661388,william contreras
663743,nick fortes
676439,hunter feduccia
680779,henry davis
640902,jhonny pereda
681807,david fry
672275,patrick bailey
686948,drake baldwin
666023,freddy fermin
681508,mickey gasper
656180,riley adams
642851,austin wynns
695600,carter jensen
686452,drew millas
663886,tyler stephenson
673237,yainer diaz
682626,francisco álvarez
624512,reese mcguire
645444,josé herrera
666163,ben rortvedt
664731,p. j. higgins
596117,garrett stubbs
657136,connor wong
543877,christian vázquez
644433,chadwick tromp
650968,yohel pozo
693307,dillon dingler
543510,james mccann
680777,ryan jeffers
641680,jonah heim
592663,j. t. realmuto
596142,gary sánchez
663728,cal raleigh
641598,mitch garver
621512,tomás nido
694208,moisés ballesteros
663584,hayden senger
669221,sean murphy
521692,salvador pérez
553869,elías díaz
455117,martín maldonado
682663,agustín ramírez
681351,logan o'hoppe
542963,rob brantly
605131,austin barnes
553882,omar narváez
680728,adrian del castillo
663698,joey bart
605244,aramis garcia
623168,tyler heineman
666165,blake sabol
669087,sam huff
595978,austin hedges
669224,austin wells
660688,keibert ruiz
694212,samuel basallo
665561,rafael marchán
669257,will smith
682848,endy rodríguez
686780,pedro pagés
669134,luis campusano
689414,liam hicks
606992,eric haase
624431,jose trevino
690924,braxton fulford
